Date,Message
2021-09-29T08:00:00.000-00:00,";42,399.98;42,183.873;43,304.892;45,071.948;0.512;-2.09;-5.928;-0.526;-0.617;-0.355;-2.589;-3.921"
2021-09-29T12:00:00.000-00:00,";41,698.98;42,095.711;43,247.538;45,038.386;-0.942;-3.581;-7.415;-0.39;-0.588;-0.349;-2.663;-3.976"
2021-09-29T16:00:00.000-00:00,";41,207.86;41,934.283;43,174.693;45,000.271;-1.732;-4.556;-8.428;-0.242;-0.553;-0.342;-2.873;-4.057"
2021-09-29T20:00:00.000-00:00,";41,524.28;41,859.737;43,115.749;44,965.684;-0.801;-3.691;-7.653;-0.49;-0.589;-0.354;-2.913;-4.114"
2021-09-30T00:00:00.000-00:00,";43,591.23;42,174.554;43,132.731;44,952.008;3.359;1.063;-3.027;0.092;-0.475;-0.325;-2.221;-4.047"
2021-09-30T04:00:00.000-00:00,";43,286.88;42,376.795;43,138.236;44,935.439;2.148;0.345;-3.669;0.457;-0.385;-0.303;-1.765;-4"
2021-09-30T08:00:00.000-00:00,";43,072.29;42,503.249;43,135.881;44,916.901;1.339;-0.147;-4.107;0.968;-0.258;-0.27;-1.467;-3.965"
2021-09-30T12:00:00.000-00:00,";43,149.02;42,620.662;43,136.35;44,899.31;1.24;0.029;-3.898;1.637;-0.089;-0.224;-1.195;-3.926"
2021-09-30T16:00:00.000-00:00,";43,532.31;42,786.416;43,150.492;44,885.708;1.743;0.885;-3.015;2.214;0.081;-0.178;-0.844;-3.866"
2021-09-30T20:00:00.000-00:00,";43,824.1;42,975.086;43,174.549;44,875.145;1.976;1.504;-2.342;1.898;0.097;-0.171;-0.462;-3.79"
2021-10-01T00:00:00.000-00:00,";43,635.79;43,095.214;43,191.022;44,862.813;1.254;1.03;-2.735;1.695;0.122;-0.162;-0.222;-3.726"
2021-10-01T04:00:00.000-00:00,";44,788.42;43,403.069;43,248.072;44,862.072;3.192;3.562;-0.164;2.117;0.26;-0.122;0.358;-3.598"
2021-10-01T08:00:00.000-00:00,";47,488.08;44,145.799;43,399.501;44,888.202;7.571;9.421;5.792;3.578;0.61;-0.025;1.72;-3.316"
2021-10-01T12:00:00.000-00:00,";47,363.68;44,730.868;43,541.078;44,912.833;5.886;8.779;5.457;4.545;0.905;0.06;2.733;-3.054"
2021-10-01T16:00:00.000-00:00,";48,030;45,330.71;43,701.397;44,943.85;5.955;9.905;6.867;5.481;1.22;0.153;3.728;-2.764"
2021-10-01T20:00:00.000-00:00,";48,141.61;45,841.783;43,859.976;44,975.669;5.017;9.762;7.039;6.373;1.549;0.252;4.518;-2.481"
2021-10-02T00:00:00.000-00:00,";47,520.84;46,147.066;43,990.721;45,000.994;2.977;8.025;5.6;6.322;1.717;0.31;4.902;-2.245"
2021-10-02T04:00:00.000-00:00,";47,725.01;46,433.965;44,124.089;45,028.098;2.78;8.161;5.989;5.183;1.67;0.312;5.235;-2.008"
2021-10-02T08:00:00.000-00:00,";47,683.45;46,661.144;44,251.209;45,054.52;2.191;7.756;5.835;4.315;1.631;0.315;5.446;-1.783"
2021-10-02T12:00:00.000-00:00,";47,828.52;46,873.394;44,378.97;45,082.122;2.038;7.773;6.092;3.403;1.55;0.308;5.621;-1.56"
2021-10-02T16:00:00.000-00:00,";48,239.99;47,121.866;44,516.863;45,113.543;2.373;8.363;6.93;2.792;1.498;0.307;5.852;-1.323"
2021-10-02T20:00:00.000-00:00,";47,634.9;47,215.145;44,628.222;45,138.631;0.889;6.737;5.53;2.315;1.449;0.306;5.797;-1.131"
2021-10-03T00:00:00.000-00:00,";47,898.66;47,339.42;44,745.023;45,166.094;1.181;7.048;6.05;1.95;1.407;0.306;5.798;-0.932"
2021-10-03T04:00:00.000-00:00,";47,895.99;47,440.615;44,857.558;45,193.257;0.96;6.774;5.98;1.67;1.37;0.308;5.758;-0.743"
2021-10-03T08:00:00.000-00:00,";47,974.86;47,537.75;44,968.89;45,220.935;0.919;6.685;6.09;1.417;1.329;0.308;5.713;-0.557"
2021-10-03T12:00:00.000-00:00,";47,879.82;47,599.945;45,072.852;45,247.392;0.588;6.228;5.818;1.015;1.249;0.297;5.607;-0.386"
2021-10-03T16:00:00.000-00:00,";48,774.76;47,813.548;45,205.063;45,282.49;2.01;7.897;7.712;1.267;1.293;0.319;5.77;-0.171"
2021-10-03T20:00:00.000-00:00,";48,200.01;47,883.814;45,312.025;45,311.52;0.66;6.374;6.375;1.15;1.267;0.322;5.676;0.001"
2021-10-04T00:00:00.000-00:00,";47,468.79;47,808.355;45,389.053;45,332.985;-0.71;4.582;4.711;0.775;1.185;0.309;5.33;0.124"
2021-10-04T04:00:00.000-00:00,";47,838.54;47,813.843;45,476.534;45,357.916;0.052;5.194;5.469;0.581;1.129;0.303;5.14;0.262"
2021-10-04T08:00:00.000-00:00,";47,585.85;47,772.39;45,551.867;45,380.085;-0.39;4.465;4.861;0.362;1.063;0.293;4.875;0.379"
2021-10-04T12:00:00.000-00:00,";47,758.23;47,769.815;45,630.666;45,403.748;-0.024;4.663;5.186;-0.091;0.941;0.268;4.688;0.5"
2021-10-04T16:00:00.000-00:00,";49,380;48,062.576;45,764.57;45,443.313;2.741;7.9;8.663;0.373;0.999;0.291;5.021;0.707"
2021-10-04T20:00:00.000-00:00,";49,224.94;48,273.915;45,888.155;45,480.941;1.97;7.272;8.232;0.974;1.1;0.326;5.199;0.895"
2021-10-05T00:00:00.000-00:00,";49,306.68;48,461.69;46,010.245;45,519.008;1.744;7.165;8.321;1.355;1.174;0.355;5.328;1.079"
2021-10-05T04:00:00.000-00:00,";49,476.51;48,646.203;46,134.04;45,558.386;1.707;7.245;8.6;1.829;1.278;0.393;5.445;1.264"
2021-10-05T08:00:00.000-00:00,";49,877.06;48,869.995;46,267.72;45,601.358;2.061;7.801;9.376;2.303;1.396;0.435;5.624;1.461"
2021-10-05T12:00:00.000-00:00,";49,793.57;49,037.918;46,393.643;45,643.071;1.541;7.328;9.093;2.029;1.375;0.44;5.7;1.644"
